# Sequence-Name	UCSC-style-name
1	chr1
CHR_HSCHR19LRC_LRC_I_CTG3_1	chr19_GL949748v2_alt
CHR_HSCHR22_3_CTG1	chr22_KI270928v1_alt
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	chr19_KI270929v1_alt
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	chr19_KI270930v1_alt
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	chr19_KI270931v1_alt
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	chr19_KI270932v1_alt
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	chr19_KI270933v1_alt
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	chr19_GL000209v2_alt
CHR_HSCHR3_5_CTG3	chr3_KI270934v1_alt
CHR_HSCHR6_MHC_MANN_CTG1	chr6_GL000253v2_alt
CHR_HSCHR19LRC_LRC_J_CTG3_1	chr19_GL949749v2_alt
CHR_HSCHR3_6_CTG3	chr3_KI270935v1_alt
CHR_HSCHR6_MHC_MCF_CTG1	chr6_GL000254v2_alt
CHR_HSCHR19LRC_LRC_S_CTG3_1	chr19_GL949750v2_alt
CHR_HSCHR3_7_CTG3	chr3_KI270936v1_alt
CHR_HSCHR6_MHC_QBL_CTG1	chr6_GL000255v2_alt
CHR_HSCHR19LRC_LRC_T_CTG3_1	chr19_GL949751v2_alt
CHR_HSCHR3_8_CTG3	chr3_KI270937v1_alt
CHR_HSCHR6_MHC_SSTO_CTG1	chr6_GL000256v2_alt
CHR_HSCHR19LRC_PGF1_CTG3_1	chr19_GL949752v1_alt
CHR_HSCHR6_8_CTG1	chr6_KI270758v1_alt
CHR_HSCHR19LRC_PGF2_CTG3_1	chr19_GL949753v2_alt
CHR_HSCHR19_4_CTG3_1	chr19_KI270938v1_alt
MT	chrM
